metric_id,metric_unit,asset_id,opc_ns,opc_id,notes
120A0CJA00EE004XQ24,bar,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ24,K4 Startdruck für Besicherung - bar
120A0CJA00EE004XQ27,bar,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ27,K7 Startdruck für Besicherung - bar
120A0CJA00EE004XQ28,bar,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ28,K8 Startdruck für Besicherung - bar
120A0CJA00EE004XV93,bool,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XV93,Rückmeldung RedStat 110/7 regelt 7 bar Netzdruck - bool
120A0CJA00EE004ZV04,bool,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%ZV04,Besicherungsreihenfolge K4 verfügbar - bool
120A0CJA00EE004ZV07,bool,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%ZV07,Besicherungsreihenfolge K7 verfügbar - bool
120A0CJA00EE004ZV08,bool,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%ZV08,Besicherungsreihenfolge K8 verfügbar - bool
120A0CJA10DE001XQ11,MW,kgw,4,120_A0_CJA10_DE001%#_#%%#_#%XQ11,Setpoint SRL positive - MW
120A0CJA10DE001XQ12,MW,kgw,4,120_A0_CJA10_DE001%#_#%%#_#%XQ12,Setpoint SRL negative - MW
120A0CJA20DU001XQ01,,kgw,4,120_A0_CJA20_DU001%#_#%%#_#%XQ01,Übergabeleistung
120A0CJA20DU001XQ02,kW,kgw,4,120_A0_CJA20_DU001%#_#%%#_#%XQ02,Eigenbedarf - kW
120A0CJA20DU001XQ03,,kgw,4,120_A0_CJA20_DU001%#_#%%#_#%XQ03,Standorteigenverbrauch DSM+BASF
120A0CJD01GH001XG01,bool,kgw,4,120_A0_CJD01_GH001%#_#%%#_#%XG01,SRL Activation - bool
120A0CJD01GH001XQ01,MW,kgw,4,120_A0_CJD01_GH001%#_#%%#_#%XQ01,Callsignal SRL from Combox - MW
120A0GHC10AA001AXQ01,%,kgw,4,120 A0 GHC10 AA001A%#_#%%#_#%XQ01,external - %
120A0GHC10AA101XB01,,kgw,4,120 A0 GHC10 AA101%#_#%%#_#%XB01,external
120A0GHC10CF001XQ01,t/h,kgw,4,120 A0 GHC10 CF001%#_#%%#_#%XQ01,external - t/h
120A0GHC10CF011XQ01,t/h,kgw,4,120 A0 GHC10 CF011%#_#%%#_#%XQ01,external - t/h
120A0GHC10CT001XQ01,°C,kgw,4,120 A0 GHC10 CT001%#_#%%#_#%XQ01,external - °C
120A0GHC10CT011XQ01,°C,kgw,4,120 A0 GHC10 CT011%#_#%%#_#%XQ01,external - °C
120A0GHC10CT021XQ01,°C,kgw,4,120 A0 GHC10 CT021%#_#%%#_#%XQ01,external - °C
120A0GHC20CT001XQ01,°C,kgw,4,120 A0 GHC20 CT001%#_#%%#_#%XQ01,external - °C
120A0GHC21AA001AXQ01,%,kgw,4,120 A0 GHC21 AA001A%#_#%%#_#%XQ01,external - %
120A0GHC21CF001XQ01,t/h,kgw,4,120 A0 GHC21 CF001%#_#%%#_#%XQ01,external - t/h
120A0LAA00DL001XQ91,%,kgw,4,120 A0 LAA00 DL001%#_#%%#_#%XQ91,external - %
120A0LAA00DP001XQ01,bar,kgw,4,120 A0 LAA00 DP001%#_#%%#_#%XQ01,external - bar
120A0LAA10CL001XQ01,%,kgw,4,120 A0 LAA10 CL001%#_#%%#_#%XQ01,external - %
120A0LAA10DL001XD,%,kgw,4,120 A0 LAA10 DL001%#_#%%#_#%XD,external - %
120A0LAA11AA101AXQ01,%,kgw,4,120 A0 LAA11 AA101A%#_#%%#_#%XQ01,external - %
120A0LAA11AA101XB01,,kgw,4,120 A0 LAA11 AA101%#_#%%#_#%XB01,external
120A0LAA30CP001XQ01,bar,kgw,4,120 A0 LAA30 CP001%#_#%%#_#%XQ01,external - bar
120A0LAA31CP001XQ01,bar,kgw,4,120 A0 LAA31 CP001%#_#%%#_#%XQ01,external - bar
120A0LAF20AA001AXQ01,%,kgw,4,120 A0 LAF20 AA001A%#_#%%#_#%XQ01,external - %
120A0LAF20AA001XQ01,%,kgw,4,120 A0 LAF20 AA001%#_#%%#_#%XQ01,external - %
120A0LAF30AA001AXQ01,%,kgw,4,120 A0 LAF30 AA001A%#_#%%#_#%XQ01,external - %
120A0LAF30AA001XQ01,%,kgw,4,120 A0 LAF30 AA001%#_#%%#_#%XQ01,external - %
120A0LBC00CE001XQ01,bar,kgw,4,120_A0_LBC00_CE001%#_#%%#_#%XQ01,Druckregelung 25bar
120A0LBC10CP901ZQ12,bar,kgw,4,120 A0 LBC10 CP901%#_#%%#_#%ZQ12,external - bar
